LINKID,COMNAME,SCINAME,FEAT_LABEL,CLASS,RANK,FED_STATUS,NJ_STATUS,MAX_YEAR,CNT_SOA,FHA_SCDW,FHA_TSC
971061,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971062,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971063,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971064,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971065,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971066,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971067,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971068,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971069,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971070,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971071,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971072,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971073,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971074,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971075,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971076,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971077,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971078,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971079,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971080,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971081,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971082,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971083,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971084,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971085,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971086,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971087,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971088,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971089,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971090,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971091,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971092,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971093,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971094,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971095,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971096,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971097,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971098,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971099,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971100,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971101,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971102,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971103,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971104,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971105,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971106,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971107,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971108,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971110,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971111,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971112,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971113,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971185,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971190,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971191,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
